state,year,pctblack_prisonpop,pctblack_under10,pctblack_10plus,rri_statepop,rri_under10,rri_10plus,numwomen_under10,numwomen_10plus,pctwomen_10plus
AK,2005,0.10551181,0.10640067,0.089552239,2.9847174,3.0098612,2.5332532,188,7,0.035897437
AK,2006,0.10781671,0.10699756,0.12230216,3.0924585,3.0689631,3.5079381,188,6,0.030927835
AK,2007,0.10522303,0.10507391,0.10833333,3.0095954,3.0053303,3.0985565,227,4,0.017316017
AK,2008,0.10148148,0.10146605,0.10185185,2.9122918,2.911849,2.9229205,244,5,0.020080321
AK,2009,0.10383824,0.10397445,0.1,3.0264826,3.0304525,2.9146128,306,5,0.01607717
AK,2010,0.099082567,0.099504381,0.088235296,2.8627455,2.8749328,2.5493405,264,5,0.01858736
AK,2011,0.098459475,0.098960198,0.09137056,2.7690339,2.7831161,2.5696683,312,10,0.031055901
AK,2012,0.092752658,0.090465464,0.11046512,2.4535449,2.3930428,2.9220846,296,13,0.042071197
AK,2013,0.094679184,0.092016235,0.11209439,2.4298036,2.3614628,2.8767397,187,13,0.064999998
AL,2007,0.6105355,0.60359061,0.65653938,2.3239558,2.2975206,2.4990659,1754,39,0.021751255
AL,2008,0.61386609,0.60571116,0.66703385,2.3327291,2.3017399,2.5347698,1735,41,0.023085585
AL,2009,0.60852891,0.59906381,0.66923487,2.3120074,2.2760463,2.5426497,1813,46,0.024744486
AL,2010,0.60096085,0.58964545,0.66982341,2.2799122,2.236984,2.5411615,1828,49,0.026105488
AL,2011,0.59240282,0.57942557,0.66948521,2.243783,2.1946304,2.5357399,1826,51,0.027171018
AL,2012,0.5895828,0.57529539,0.6707114,2.2273393,2.1733639,2.5338287,1885,55,0.028350515
AL,2013,0.5870679,0.57156903,0.67106789,2.2095582,2.1512246,2.5257103,1880,63,0.032424085
AL,2014,0.58678484,0.5689345,0.67038989,2.2014537,2.1344843,2.5151167,1689,71,0.040340908
AZ,2000,0.14873432,0.14811061,0.15946844,4.5144525,4.4955215,4.8402596,1486,25,0.016545335
AZ,2001,0.14714536,0.14661893,0.15550756,4.3643956,4.3487816,4.612422,1730,30,0.017045455
AZ,2002,0.14212833,0.14131452,0.15433674,4.1203437,4.0967507,4.4742689,2009,39,0.019042969
AZ,2003,0.13684285,0.13583936,0.15219907,3.8832927,3.854816,4.319068,2378,41,0.016949153
AZ,2004,0.1327626,0.13142435,0.15234174,3.6575727,3.6207044,4.1969724,2544,45,0.017381229
AZ,2005,0.13112846,0.1295841,0.15314451,3.4962382,3.4550614,4.0832453,2691,48,0.017524645
AZ,2006,0.13449661,0.13256763,0.16265334,3.4413207,3.3919644,4.1617575,2946,57,0.018981019
AZ,2007,0.13341585,0.13127244,0.16426757,3.294668,3.2417369,4.0565429,3252,66,0.0198915
AZ,2008,0.1337588,0.131781,0.16149312,3.1879144,3.1407769,3.8489151,3547,68,0.018810512
AZ,2009,0.13374168,0.13141026,0.16561456,3.0894485,3.0355926,3.825716,3602,78,0.021195652
AZ,2010,0.13324012,0.1305625,0.16678129,3.0244105,2.9636312,3.7857597,3504,91,0.025312934
AZ,2011,0.1352267,0.13242489,0.16812724,3.0178719,2.9553437,3.7521176,3362,103,0.029725829
AZ,2012,0.13379188,0.13077414,0.16717885,2.9303527,2.8642571,3.6616049,3406,124,0.03512748
AZ,2013,0.13295387,0.12969238,0.16901408,2.8616374,2.7914386,3.6377807,3531,112,0.030743893
AZ,2014,0.13404657,0.13099572,0.1679367,2.8311138,2.7666788,3.5468862,3677,120,0.031603899
CA,2000,0.31205687,0.30741456,0.37701538,4.4472079,4.3810492,5.3729496,10217,379,0.035768215
CA,2001,0.30706632,0.30176941,0.37296417,4.4084744,4.332428,5.3545537,9151,409,0.042782426
CA,2002,0.30069575,0.29436314,0.37209302,4.3450451,4.2535391,5.3767338,9167,457,0.047485452
CA,2003,0.29553732,0.28842032,0.36877748,4.2998314,4.1962848,5.365417,9764,493,0.048064735
CA,2004,0.29237905,0.28408837,0.37054738,4.2770138,4.155735,5.420485,10323,537,0.049447514
CA,2005,0.2886793,0.27883026,0.36960468,4.2469749,4.1020784,5.4375281,10630,622,0.055279061
CA,2006,0.28969279,0.27848572,0.3688179,4.2811313,4.1155114,5.4504561,10856,699,0.060493294
CA,2007,0.29028952,0.27756783,0.36751926,4.3128834,4.1238747,5.460299,10564,769,0.067854933
CA,2008,0.29269117,0.2786614,0.36772329,4.3694649,4.1600204,5.4895883,10560,845,0.074090309
CA,2009,0.29218644,0.27675995,0.36569887,4.3730617,4.1421785,5.473299,9886,895,0.083016418
CA,2010,0.29157752,0.2749981,0.36282438,4.3769169,4.1280408,5.4464149,8863,946,0.096442044
CA,2011,0.29197243,0.27278832,0.36173275,4.4062738,4.1167588,5.4590554,7162,958,0.11798029
CA,2012,0.2952545,0.27338028,0.36133265,4.4781199,4.1463542,5.4803262,5167,974,0.1586061
CA,2013,0.28996128,0.26815417,0.35762981,4.4225616,4.0899539,5.4546585,5296,969,0.15466879
CA,2014,0.28863996,0.26671556,0.35524771,4.4153466,4.0799675,5.4342504,5208,951,0.15440819
CO,2000,0.23530819,0.23296845,0.26566416,5.8360319,5.7780027,6.5889101,1297,30,0.022607384
CO,2001,0.22950536,0.22663347,0.265674,5.6515169,5.5807972,6.542161,1345,33,0.023947751
CO,2002,0.2201668,0.21709993,0.25824964,5.3947306,5.3195834,6.3278718,1539,36,0.022857143
CO,2003,0.21358976,0.20991817,0.25742576,5.2581582,5.1677713,6.3373141,1709,38,0.021751573
CO,2004,0.20619321,0.20140049,0.25906119,5.0179882,4.901351,6.3046012,1870,45,0.023498695
CO,2005,0.19793805,0.19098833,0.27297744,4.8330102,4.6633205,6.6652303,2081,56,0.02620496
CO,2006,0.19577804,0.18867189,0.27173346,4.7254448,4.553925,6.5587611,2256,61,0.026327148
CO,2007,0.19638322,0.19034596,0.25938907,4.7237029,4.578486,6.2392139,2285,67,0.028486395
CO,2008,0.19728681,0.19167925,0.25538161,4.7048802,4.5711517,6.0903201,2242,70,0.030276816
CO,2009,0.19758454,0.19187425,0.25393796,4.6639519,4.5291615,5.9941659,2058,72,0.033802819
CO,2010,0.19374369,0.18726848,0.25208607,4.5217257,4.3706026,5.8833609,2004,77,0.037001442
CO,2011,0.19245231,0.18554647,0.24669074,4.4622293,4.3021097,5.71981,1954,84,0.04121688
CO,2012,0.19346049,0.18615513,0.24464355,4.4338074,4.2663798,5.606842,1666,78,0.04472477
CO,2013,0.18969072,0.18154779,0.24656998,4.3008208,4.1161976,5.5904326,1752,72,0.039473683
CO,2014,0.18568635,0.17645667,0.24733306,4.1557717,3.9492061,5.5354624,1671,71,0.040757749
DC,2007,0.96689719,0.9669826,0.96470588,1.7610842,1.7612398,1.757093,327,7,0.020958085
DC,2008,0.96734947,0.96737909,0.96666664,1.7999442,1.7999994,1.7986736,296,21,0.066246055
DC,2009,0.96636736,0.96615964,0.9708029,1.8404613,1.8400656,1.8489088,229,23,0.091269843
DC,2010,0.96581048,0.96602029,0.96253604,1.8792973,1.8797055,1.8729258,260,18,0.064748198
DC,2011,0.96654534,0.96498215,0.97399998,1.9093831,1.9062951,1.9241095,228,23,0.091633469
DC,2012,0.96700191,0.96681815,0.9676401,1.9371992,1.9368311,1.9384778,217,24,0.099585064
DC,2013,0.96531147,0.96412665,0.96893942,1.9522938,1.9498975,1.9596311,170,24,0.12371134
DE,2009,0.60933971,0.61647326,0.55333334,2.805196,2.8380365,2.5473616,216,4,0.018181818
DE,2010,0.60648036,0.60953718,0.583682,2.7694745,2.7834334,2.6653664,238,5,0.020576132
DE,2011,0.59170204,0.58891964,0.60759491,2.688216,2.675575,2.7604203,261,5,0.018796992
DE,2012,0.58151448,0.57701391,0.60677469,2.6332214,2.6128418,2.7476051,307,6,0.019169329
DE,2013,0.58052349,0.57417148,0.61473089,2.6181743,2.5895267,2.7724504,292,8,0.026666667
DE,2014,0.56663835,0.55485815,0.63100135,2.5423539,2.4894993,2.8311334,281,13,0.044217687
FL,2000,0.5413909,0.53923482,0.55936539,3.5614541,3.5472708,3.6796966,4083,150,0.035435863
FL,2001,0.53666544,0.53187501,0.57146049,3.4996223,3.4683836,3.7265224,4212,190,0.043162201
FL,2002,0.52877015,0.52294552,0.56906706,3.4232247,3.3855164,3.6841044,4487,205,0.043691389
FL,2003,0.52201134,0.51523829,0.56968433,3.3552365,3.3117025,3.6616554,4957,214,0.041384645
FL,2004,0.51501924,0.50760299,0.56790483,3.2899418,3.2425668,3.627775,5394,211,0.03764496
FL,2005,0.50631034,0.49840656,0.56385428,3.2083051,3.1582217,3.5729401,5747,213,0.035738256
FL,2006,0.50250697,0.49389559,0.56483597,3.151423,3.0974176,3.5423131,6053,224,0.035685837
FL,2007,0.50157392,0.4929378,0.56331503,3.1220632,3.0683074,3.5063727,6452,238,0.035575487
FL,2008,0.49808863,0.48935634,0.55936295,3.0736396,3.0197537,3.4517553,6757,273,0.03883357
FL,2009,0.49783269,0.48916408,0.5557906,3.0510042,2.9978778,3.4062035,6763,298,0.042203654
FL,2010,0.49064612,0.48061508,0.55375355,2.9907298,2.9295857,3.3754008,6985,328,0.044851635
FL,2011,0.48470929,0.47321993,0.55215424,2.9224505,2.853178,3.3290954,6789,345,0.048359968
FL,2012,0.48310456,0.47108653,0.54883689,2.893295,2.8213196,3.2869635,6607,368,0.052759856
FL,2013,0.48203814,0.46968967,0.54657584,2.8772061,2.8035002,3.2624209,6843,395,0.054573085
FL,2014,0.47828999,0.4650045,0.54420269,2.8467917,2.7677164,3.2391055,6789,414,0.057476051
GA,2000,0.65690207,0.66079229,0.61024433,2.2662661,2.2796872,2.1053002,2601,99,0.036666665
GA,2001,0.65385282,0.65718544,0.61763948,2.2452092,2.2566528,2.1208594,2734,113,0.039690904
GA,2002,0.63989341,0.64134628,0.62608308,2.1858788,2.1908417,2.1387026,2970,120,0.038834952
GA,2003,0.63474208,0.63434678,0.63800198,2.1577909,2.1564472,2.1688728,2996,145,0.046163641
GA,2004,0.62699944,0.62582666,0.63572681,2.11748,2.1135194,2.1469538,2790,170,0.057432432
GA,2005,0.61879146,0.6158427,0.63966024,2.0764055,2.0665107,2.1464324,2728,181,0.062220693
GA,2006,0.61017042,0.60509694,0.64585853,2.0247424,2.0079069,2.143167,3355,196,0.055195719
GA,2007,0.61025053,0.60366172,0.65469652,2.0087969,1.9871082,2.1551025,3382,209,0.05820106
GA,2008,0.61948168,0.61358768,0.65570027,2.0257564,2.0064826,2.1441941,3490,224,0.060312331
GA,2009,0.62554324,0.61914796,0.66321176,2.0316033,2.0108333,2.1539412,3557,235,0.061972573
GA,2010,0.62414718,0.61752087,0.66169655,2.0171192,1.9957042,2.1384711,3515,242,0.064413093
GA,2011,0.61865956,0.61033595,0.6654591,1.9888836,1.9621247,2.1393361,3406,235,0.064542711
GA,2012,0.61788529,0.60940242,0.66613322,1.9799981,1.9528149,2.1346073,3205,249,0.072090328
GA,2013,0.61679512,0.6073851,0.6679607,1.9667847,1.9367788,2.1299372,3260,260,0.073863633
GA,2014,0.61444795,0.60370952,0.67038578,1.9483224,1.9142724,2.1256928,3209,280,0.080252223
IA,2006,0.23362578,0.23369506,0.23269513,8.9242401,8.9268866,8.8886909,866,33,0.036707453
IA,2007,0.2440685,0.24398433,0.24505928,8.9366894,8.9336071,8.9729671,795,40,0.047904193
IA,2008,0.25059396,0.25050664,0.25156444,8.8112087,8.8081388,8.8453321,824,43,0.04959631
IA,2009,0.25638518,0.25626275,0.25757575,8.7099733,8.7058144,8.7504206,735,47,0.060102303
IA,2010,0.2577022,0.2579875,0.25494507,8.4982224,8.5076313,8.4073009,764,46,0.056790125
IA,2011,0.26565364,0.26769009,0.24760893,8.5401802,8.6056471,7.9600821,706,48,0.06366048
IA,2012,0.25872713,0.25950643,0.25232679,8.1304245,8.1549139,7.929296,761,49,0.060493827
IA,2013,0.25928041,0.25985062,0.25480282,7.8312263,7.8484488,7.6959867,674,51,0.070344828
IA,2014,0.25866103,0.2597959,0.25,7.5509934,7.5841231,7.2981553,710,57,0.074315518
IL,2000,0.64601731,0.64480013,0.66209906,4.218689,4.2107406,4.3237076,2819,77,0.026588397
IL,2001,0.64013964,0.63810956,0.66444123,4.1958213,4.1825151,4.3551073,2695,87,0.031272467
IL,2002,0.62455446,0.62030584,0.66888654,4.1069255,4.0789876,4.3984427,2450,91,0.035812672
IL,2003,0.60794801,0.60165715,0.66862172,4.0129652,3.9714406,4.4134626,2616,115,0.042109117
IL,2004,0.60355741,0.59610271,0.67154622,3.9961436,3.9467862,4.4462962,2640,125,0.045207955
IL,2005,0.6022085,0.59436929,0.66994441,3.9991293,3.9470708,4.4489479,2609,133,0.04850474
IL,2006,0.59588706,0.58810711,0.6600613,3.9680097,3.916203,4.3953457,2599,137,0.050073098
IL,2007,0.59334999,0.58481294,0.66004288,3.9675751,3.91049,4.4135327,2704,144,0.050561797
IL,2008,0.58899683,0.57890266,0.66312122,3.9530149,3.8852687,4.4504962,2594,151,0.055009108
IL,2009,0.58348459,0.57262164,0.65936011,3.9272394,3.8541245,4.437932,2449,160,0.06132618
IL,2010,0.57502121,0.56474566,0.65031838,3.8788388,3.8095245,4.3867602,2769,170,0.057842802
IL,2011,0.57164711,0.56146264,0.64421302,3.8677499,3.7988422,4.3587294,2689,188,0.065345846
IL,2012,0.57602322,0.5671649,0.63801277,3.9063821,3.8463082,4.3267727,2690,204,0.070490673
IL,2013,0.58024102,0.57285148,0.6298123,3.941421,3.8912258,4.2781453,2717,198,0.067924529
IN,2002,0.39846742,0.3928906,0.46278512,4.595015,4.5307045,5.3367085,1431,64,0.042809363
IN,2003,0.38729462,0.38148218,0.45945945,4.4266882,4.3602533,5.2515159,1591,59,0.035757575
IN,2004,0.38506979,0.37936568,0.45765767,4.3609462,4.2963467,5.1830096,1621,59,0.035119049
IN,2005,0.37765756,0.37164855,0.45274475,4.2401018,4.1726365,5.0831337,1745,58,0.032168608
IN,2006,0.38208196,0.37632531,0.45429665,4.2435551,4.1796193,5.0455999,1888,56,0.028806584
IN,2007,0.38018951,0.37326112,0.46858639,4.1846499,4.1083913,5.1576123,2091,55,0.025629077
IN,2008,0.3857649,0.37908313,0.46699029,4.2077699,4.1348877,5.0937438,2197,60,0.02658396
IN,2009,0.37834036,0.37037909,0.46981981,4.0906491,4.004571,5.0797329,2203,64,0.028231142
IN,2010,0.37055764,0.36158636,0.46856159,3.9736214,3.8774192,5.0245528,2273,53,0.022785898
IN,2011,0.36693361,0.35524663,0.48004562,3.9110475,3.786479,5.1166782,2306,73,0.030685162
IN,2012,0.35827893,0.34489402,0.47673181,3.7975545,3.6556821,5.0530882,2281,76,0.032244377
IN,2013,0.34714916,0.33180681,0.47912458,3.651325,3.4899535,5.0394464,2458,88,0.034564022
IN,2014,0.3377493,0.320034,0.48058727,3.5314384,3.3462107,5.0249233,2506,97,0.037264694
KS,2011,0.3387371,0.32782769,0.4046289,5.5275216,5.3495016,6.602746,565,36,0.059900165
KS,2012,0.33020312,0.31819922,0.40167046,5.3291154,5.1353855,6.4825196,613,37,0.056923077
KS,2013,0.3231805,0.3080557,0.41584158,5.1949906,4.9518661,6.6844788,630,38,0.056886226
KS,2014,0.31190887,0.29288754,0.42716238,4.994884,4.6902776,6.8405442,667,39,0.055240795
KY,2000,0.34492567,0.3492564,0.27303755,4.6567059,4.7151732,3.6861727,1117,24,0.021034181
KY,2001,0.32472971,0.32872984,0.2606383,4.34518,4.3987055,3.4875784,1205,30,0.024291499
KY,2002,0.3156603,0.31770459,0.2830385,4.1997623,4.2269611,3.7657394,1329,38,0.027798098
KY,2003,0.31069407,0.31216326,0.28769842,4.12748,4.1469979,3.8219895,1402,41,0.028413028
KY,2004,0.30064046,0.30100277,0.29477611,3.9552894,3.9600558,3.8781366,1648,45,0.026580036
KY,2005,0.29317993,0.29277253,0.29965156,3.8353751,3.8300455,3.920037,1962,51,0.025335321
KY,2006,0.29113105,0.2906464,0.29847145,3.7944641,3.7881474,3.8901355,2044,61,0.028978622
KY,2007,0.29474533,0.29474783,0.29470199,3.8062816,3.806314,3.805722,2396,41,0.016823964
KY,2008,0.29211196,0.29194498,0.29482073,3.7608559,3.7587061,3.7957306,2231,45,0.019771529
KY,2009,0.27983084,0.27912313,0.2912088,3.5642645,3.5552502,3.709188,2271,54,0.023225807
KY,2010,0.26351514,0.26118633,0.2989772,3.3265991,3.2972002,3.7742698,2128,48,0.022058824
KY,2011,0.24516129,0.24170384,0.29946113,3.0644948,3.021277,3.743238,2472,48,0.01904762
KY,2012,0.23504217,0.23134607,0.29128277,2.9066682,2.86096,3.6021721,2711,56,0.020238526
KY,2013,0.23618066,0.23135316,0.29778934,2.894521,2.8353572,3.6495683,2288,61,0.025968498
KY,2014,0.22904156,0.22449921,0.28343558,2.7859182,2.7306681,3.4475331,2407,65,0.026294498
MA,2010,0.31504408,0.31129411,0.33500314,4.0748019,4.0262995,4.3329539,483,31,0.060311284
MA,2011,0.31586665,0.31189153,0.33728918,4.0097885,3.959326,4.2817383,459,33,0.067073174
MA,2012,0.31122139,0.3060455,0.33696309,3.8757749,3.8113174,4.1963472,390,34,0.080188677
MA,2013,0.30912358,0.30396703,0.33274338,3.7798548,3.7168024,4.0686693,406,33,0.075170845
MA,2014,0.30932844,0.30324718,0.33605126,3.7172771,3.644197,4.0384116,392,36,0.084112152
MD,2000,0.77162278,0.77506059,0.75031972,2.7234597,2.7355936,2.6482699,1031,48,0.044485636
MD,2001,0.76766765,0.76928765,0.75810474,2.6903496,2.6960268,2.6568356,1049,52,0.047229793
MD,2002,0.76433969,0.76492363,0.76095498,2.6610668,2.6630998,2.6492829,1094,56,0.048695654
MD,2003,0.76163679,0.76138783,0.76300406,2.6341259,2.6332648,2.6388547,1039,61,0.055454545
MD,2004,0.75260216,0.74993259,0.7669369,2.5820293,2.5728705,2.6312091,1030,60,0.055045873
MD,2005,0.75238883,0.74972606,0.76621163,2.561209,2.5521445,2.6082633,969,61,0.059223302
MD,2006,0.74725223,0.74307811,0.76859277,2.5257664,2.5116575,2.597899,942,80,0.078277886
MD,2007,0.74582601,0.74135494,0.76927298,2.5083323,2.4932952,2.587188,1065,78,0.06824147
MD,2008,0.74845785,0.74435377,0.76952177,2.509362,2.4956021,2.5799832,931,80,0.079129577
MD,2009,0.74772203,0.74196196,0.77565634,2.497776,2.4785345,2.5910909,889,84,0.086330935
MD,2010,0.73347747,0.72444707,0.77727991,2.4442518,2.4141586,2.5902197,857,86,0.091198303
MD,2011,0.73027241,0.72044939,0.77926862,2.4294057,2.3967273,2.592402,889,85,0.087268993
MD,2012,0.71310306,0.69926196,0.77728802,2.3690674,2.3230846,2.5823023,773,86,0.10011642
ME,2012,0.071388103,0.073383085,0.050955415,5.2677436,5.4149537,3.7600112,114,4,0.033898305
ME,2013,0.069532908,0.071925752,0.043749999,5.0260458,5.1990075,3.1623802,112,4,0.034482758
ME,2014,0.082135521,0.085058756,0.049689442,5.7797961,5.9855013,3.4965973,124,4,0.03125
MI,2000,0.54853129,0.53834707,0.61027056,3.8180013,3.7471149,4.2477317,2010,173,0.079248741
MI,2001,0.54664612,0.53409576,0.61398137,3.8016372,3.7143562,4.2699184,2041,179,0.08063063
MI,2002,0.54189456,0.52798229,0.6099413,3.770642,3.6738369,4.2441292,2111,194,0.084164858
MI,2003,0.53196681,0.51596773,0.60289007,3.7041197,3.5927172,4.1979632,2064,198,0.087533154
MI,2004,0.52711987,0.5093801,0.60121351,3.6720846,3.5485036,4.1882443,1956,203,0.094025008
MI,2005,0.52202237,0.50152087,0.60481274,3.6390383,3.4961216,4.2161732,1951,217,0.10009225
MI,2006,0.51974326,0.498945,0.60365677,3.623564,3.4785619,4.2085953,1994,222,0.10018051
MI,2007,0.52019495,0.49930328,0.60020965,3.6278129,3.4821155,4.1858311,1887,228,0.10780142
MI,2008,0.52491891,0.50506651,0.5974741,3.6652784,3.5266578,4.1718993,1723,227,0.11641026
MI,2009,0.5320701,0.51269674,0.60281229,3.7186308,3.5832307,4.213047,1563,204,0.11544991
MI,2010,0.53692049,0.51659065,0.61188662,3.7483006,3.6063757,4.2716475,1673,214,0.11340752
MI,2011,0.53946149,0.51805335,0.61614549,3.7672386,3.6177385,4.3027487,1699,221,0.11510417
MI,2012,0.53670901,0.51352942,0.6193319,3.7523224,3.5902658,4.3299685,1773,238,0.11834908
MI,2013,0.53131717,0.50608683,0.61912161,3.7261305,3.54919,4.3419037,1766,270,0.13261297
MN,2000,0.36214992,0.36614969,0.26530612,9.8616095,9.9705257,7.2244811,352,7,0.019498607
MN,2001,0.36615062,0.37051544,0.26296297,9.4994946,9.6127357,6.8223705,390,9,0.022556391
MN,2002,0.35273591,0.3557243,0.28797469,8.7744465,8.8487844,7.1634851,454,10,0.021551725
MN,2003,0.33324635,0.3335155,0.32753623,7.9524221,7.9588451,7.8161588,421,13,0.029953917
MN,2004,0.32308069,0.3219575,0.34345794,7.3977447,7.3720264,7.8643332,494,13,0.025641026
MN,2005,0.31803834,0.31667313,0.33939394,7.0081973,6.9781141,7.4787831,512,16,0.030303031
MN,2006,0.32336351,0.32083747,0.35559568,6.8203297,6.7670507,7.500165,418,19,0.043478262
MN,2007,0.33293247,0.32970598,0.3619211,6.749989,6.6845741,7.3377147,277,24,0.079734221
MN,2008,0.34714803,0.34581271,0.36417034,6.8184152,6.7921882,7.1527548,582,28,0.045901638
MN,2009,0.35251355,0.35134238,0.36731842,6.7543044,6.7318645,7.037972,629,29,0.044072948
MN,2010,0.35398963,0.35370788,0.35733333,6.6526933,6.6473985,6.7155333,604,29,0.045813587
MN,2011,0.35548589,0.35462606,0.36528498,6.5139046,6.4981494,6.6934628,596,30,0.047923323
MN,2012,0.35139591,0.34986565,0.36903226,6.2883635,6.2609792,6.6039729,666,29,0.041726619
MN,2013,0.34897688,0.34724689,0.36809817,6.0904646,6.0602717,6.4241757,664,30,0.043227665
MN,2014,0.34323153,0.34003678,0.37976348,5.8458323,5.7914205,6.4680357,637,28,0.042105265
MO,2000,0.42756346,0.41682935,0.54071802,3.7629097,3.6684406,4.7587628,1841,55,0.029008439
MO,2001,0.41929972,0.40683371,0.55998284,3.6733334,3.5641232,4.9058075,2081,51,0.023921201
MO,2002,0.42075372,0.40851203,0.54911745,3.6720796,3.5652416,4.7923594,2260,53,0.022913964
MO,2003,0.41494632,0.40091947,0.54686958,3.6097043,3.4876819,4.7573318,2165,60,0.026966292
MO,2004,0.40787897,0.39216536,0.54643768,3.534929,3.3987453,4.735764,2425,68,0.027276374
MO,2005,0.40440872,0.38597864,0.55749333,3.495482,3.3361828,4.8186593,2527,78,0.029942418
MO,2006,0.40570733,0.38602155,0.55723059,3.4955463,3.3259349,4.8010602,2568,94,0.035311796
MO,2007,0.39999354,0.37920636,0.54944474,3.4429018,3.2639782,4.7292871,2498,112,0.042911876
MO,2008,0.40301949,0.38338467,0.54001552,3.4635363,3.2947953,4.6408758,2377,115,0.046147674
MO,2009,0.40077215,0.38040325,0.53971076,3.4356656,3.2610507,4.6267328,2324,120,0.049099836
MO,2010,0.39012668,0.36864725,0.53275436,3.3361475,3.1524673,4.5558205,2343,127,0.051417004
MO,2011,0.38509557,0.36231014,0.52798682,3.28915,3.0945368,4.5096021,2449,133,0.051510457
MO,2012,0.37729031,0.35253406,0.52852923,3.217241,3.0061388,4.5068898,2564,143,0.052826006
MO,2013,0.37397704,0.3504611,0.51834238,3.1778193,2.9779956,4.4045444,2642,141,0.050664749
MO,2014,0.36259541,0.33764994,0.51564258,3.0747228,2.8631911,4.3725266,2893,147,0.048355263
MS,2004,0.68764198,0.68439674,0.72448981,1.884075,1.8751833,1.9850347,1505,56,0.035874441
MS,2005,0.6867488,0.68113595,0.74547577,1.8801816,1.8648148,2.0409644,1632,60,0.035460994
MS,2006,0.68389541,0.67714047,0.75104821,1.8553462,1.8370208,2.0375257,1755,65,0.035714287
MS,2007,0.68383145,0.6751169,0.7625528,1.8505219,1.8269393,2.0635505,1864,68,0.035196688
MS,2008,0.68482667,0.674793,0.77208483,1.848338,1.8212572,2.0838466,1864,73,0.037687145
MS,2009,0.67347991,0.66261512,0.76416337,1.8164684,1.7871644,2.0610542,1630,83,0.048453007
MS,2010,0.66719198,0.65635943,0.75178796,1.7935829,1.7644624,2.0209987,1410,84,0.056224901
MS,2011,0.66478556,0.65441686,0.74400651,1.784464,1.7566316,1.9971145,1473,85,0.054557126
MS,2012,0.66094732,0.64938885,0.74970299,1.77202,1.7410313,2.0099766,1521,84,0.052336447
MS,2013,0.66399479,0.65152806,0.75149477,1.775838,1.7424961,2.0098546,1424,86,0.056953643
MS,2014,0.67042452,0.65547532,0.75204265,1.7874151,1.7475592,2.0050168,1167,78,0.062650606
MT,2010,0.029778672,0.029569892,0.031620555,6.8860955,6.8378167,7.312017,178,6,0.032608695
MT,2011,0.02770083,0.027360989,0.03065134,5.3718934,5.3059897,5.9440722,192,6,0.030303031
MT,2012,0.026058631,0.026075022,0.025925925,4.5144806,4.5173202,4.4914899,186,4,0.021052632
MT,2013,0.025341915,0.025745258,0.022058824,4.4406443,4.5113215,3.8653507,186,5,0.02617801
MT,2014,0.027624309,0.027826855,0.025925925,4.7355719,4.7702942,4.4444218,196,4,0.02
NC,2000,0.63071489,0.63515496,0.59107018,2.8933959,2.9137647,2.7115264,1433,64,0.042752173
NC,2001,0.6229831,0.62700266,0.59090906,2.8598866,2.8783391,2.7126465,1454,70,0.04593176
NC,2002,0.6157946,0.61725742,0.6052193,2.8255723,2.8322842,2.7770474,1585,85,0.050898202
NC,2003,0.6052745,0.6038363,0.61474586,2.7761064,2.76951,2.8195469,1628,97,0.056231882
NC,2004,0.59759539,0.59251523,0.63027591,2.7410254,2.7177238,2.890923,1760,103,0.055287171
NC,2005,0.58766347,0.58138365,0.62808961,2.6977406,2.6689122,2.8833218,1848,100,0.051334701
