state,year,pctblack_prisonpop,pctblack_under10,pctblack_10plus,rri_statepop,rri_under10,rri_10plus,numwomen_under10,numwomen_10plus,pctwomen_10plus
NC,2006,0.58481318,0.57892352,0.62387437,2.6854985,2.6584527,2.8648698,1902,99,0.049475264
NC,2007,0.58064419,0.57318026,0.629547,2.6661346,2.6318624,2.8906808,1921,106,0.052294031
NC,2008,0.57579732,0.56882811,0.62200958,2.6406708,2.6087091,2.8526053,2037,112,0.052117262
NC,2009,0.57529294,0.56849182,0.61972129,2.6326611,2.6015377,2.8359745,2093,115,0.052083332
NC,2010,0.57393694,0.56747013,0.61430293,2.6205242,2.5909977,2.8048303,2102,136,0.060768545
NC,2011,0.57015586,0.56318229,0.61108977,2.5973334,2.5655653,2.7838068,2028,142,0.065437786
NC,2012,0.56159276,0.55401814,0.60301971,2.5525892,2.5181603,2.7408857,2022,155,0.071198896
NC,2013,0.55074978,0.54216909,0.59583557,2.4966018,2.4577048,2.7009799,2096,148,0.065953657
NC,2014,0.54186624,0.53194577,0.59213674,2.4512069,2.4063301,2.6786122,2254,157,0.065118209
ND,2002,0.047237076,0.048579287,0,6.0837922,6.2566595,0,101,1,0.009803922
ND,2003,0.044189852,0.045608107,0,5.3494844,5.521174,0,106,1,0.009345794
ND,2004,0.042056076,0.042810984,0.021739131,4.6395898,4.7228703,2.398242,125,1,0.007936508
ND,2005,0.049130764,0.050039094,0.022727273,4.975368,5.0673528,2.3015425,145,1,0.006849315
ND,2006,0.048762735,0.050037909,0.018181818,4.7208695,4.8443232,1.7602373,155,1,0.006410257
ND,2007,0.05511811,0.056843679,0.016666668,5.1506319,5.3118815,1.557453,141,3,0.020833334
ND,2008,0.057201929,0.059035279,0.016129032,5.1350465,5.2996268,1.4479114,158,3,0.018633541
ND,2009,0.059333332,0.060055867,0.044117648,4.8315907,4.8904276,3.5925574,172,3,0.017142856
ND,2010,0.067567565,0.068990044,0.040540539,5.3531065,5.4658041,3.211864,169,3,0.017441861
ND,2011,0.059474412,0.06122449,0.027027028,4.2484221,4.373435,1.9306154,144,3,0.020408163
ND,2012,0.065359481,0.067400277,0.02631579,4.1258135,4.2546387,1.6611828,171,2,0.011560693
ND,2013,0.062419564,0.065188169,0,3.3537586,3.5025136,0,157,2,0.012578616
ND,2014,0.068598464,0.071604937,0,3.2537885,3.3963928,0,203,2,0.009756098
NE,2000,0.25530285,0.24492069,0.37187499,6.224031,5.9709239,9.0659447,254,11,0.041509435
NE,2001,0.25253808,0.2406639,0.38461539,6.0536346,5.7689967,9.2196827,329,8,0.023738872
NE,2002,0.25067919,0.23846777,0.38304093,5.9454761,5.6558518,9.0847616,345,10,0.028169014
NE,2003,0.24463096,0.23145884,0.37567568,5.7155938,5.4078383,8.7773418,314,9,0.027863776
NE,2004,0.2470617,0.23519871,0.36103895,5.6986446,5.4250169,8.3276072,358,10,0.027173912
NE,2005,0.24347629,0.23225483,0.34999999,5.5458498,5.2902498,7.9722238,414,10,0.023584906
NE,2006,0.2478241,0.23706897,0.34834123,5.5476904,5.3069305,7.7978263,399,10,0.024449877
NE,2007,0.25482711,0.24795234,0.31999999,5.6355648,5.4835277,7.076879,391,10,0.024937656
NE,2008,0.26421028,0.25895521,0.31322506,5.7250223,5.6111531,6.7870955,372,10,0.02617801
NE,2009,0.26355556,0.25617588,0.32964602,5.6414752,5.483511,7.0561585,358,11,0.029810298
NE,2010,0.2634083,0.2562063,0.32631579,5.5796623,5.4271059,6.9122043,403,13,0.03125
NE,2011,0.26601294,0.25972223,0.32346722,5.5763259,5.4444566,6.7807183,387,17,0.042079207
NE,2012,0.26622018,0.26143488,0.30997878,5.5365405,5.4370213,6.4465814,368,15,0.039164491
NE,2013,0.266601,0.26298559,0.30020285,5.4806089,5.4062858,6.1713738,363,14,0.037135277
NE,2014,0.26626888,0.26141766,0.31106871,5.4158635,5.3171902,6.3270841,378,16,0.040609136
NH,2011,0.064568199,0.067059353,0.044280443,4.9435563,5.1342874,3.3902581,150,6,0.03846154
NH,2012,0.065126844,0.06675116,0.05109489,4.6893067,4.8062615,3.6789684,190,6,0.030612245
NH,2013,0.06427221,0.065989845,0.049822062,4.4582696,4.577414,3.4559288,190,7,0.035532996
NH,2014,0.065416984,0.066580199,0.056478404,4.4856453,4.5654068,3.8727264,178,9,0.04812834
NJ,2003,0.64072526,0.64184964,0.6277948,4.4306006,4.4383755,4.3411865,1535,51,0.032156367
NJ,2004,0.63452804,0.63523716,0.6267516,4.3818107,4.3867073,4.3281093,1491,49,0.031818181
NJ,2005,0.62508672,0.62499523,0.62606233,4.3136463,4.313015,4.3203788,1462,52,0.034346104
NJ,2006,0.62066901,0.6199289,0.62827641,4.2782731,4.2731719,4.3307114,1440,52,0.034852546
NJ,2007,0.61693275,0.6153512,0.63256538,4.2489696,4.2380767,4.3566351,1416,61,0.041299932
NJ,2008,0.61709094,0.61551476,0.63159895,4.2500529,4.2391973,4.3499727,1312,65,0.047204066
NJ,2009,0.61821705,0.61644477,0.63350403,4.248508,4.2363286,4.3535628,1206,72,0.056338027
NJ,2010,0.61839771,0.61588347,0.63911647,4.2392869,4.2220511,4.3813195,1131,79,0.065289259
NJ,2011,0.61429971,0.61047065,0.64680851,4.2021794,4.1759863,4.4245591,1053,72,0.064000003
NJ,2012,0.61255807,0.60662645,0.66070735,4.176856,4.1364102,4.5051723,1009,75,0.069188192
NJ,2013,0.61009425,0.60317868,0.66264123,4.1438904,4.0969186,4.5008006,935,81,0.079724409
NM,2010,0.086709522,0.084751204,0.11328976,3.6289186,3.5469604,4.7413402,594,16,0.026229508
NM,2011,0.088794924,0.087544829,0.1045082,3.6633167,3.611743,4.3115826,610,21,0.033280507
NM,2012,0.089185186,0.087145619,0.11254612,3.6361115,3.5529578,4.5885453,619,25,0.038819876
NM,2013,0.086295158,0.08346761,0.1141046,3.4737284,3.3599083,4.5931706,641,30,0.044709388
NM,2014,0.081494302,0.078626446,0.10699002,3.2255104,3.1120019,4.2346201,665,33,0.047277939
NV,2008,0.28134698,0.28292388,0.26807889,3.3574862,3.3763044,3.1991501,986,31,0.03048181
NV,2009,0.28291249,0.28442013,0.27128029,3.330375,3.3481224,3.1934435,931,34,0.035233162
NV,2010,0.28241891,0.28584465,0.25785339,3.2925773,3.3325162,3.0061805,934,36,0.037113402
NV,2011,0.28669485,0.29013133,0.26261979,3.3101666,3.349844,3.032197,921,41,0.042619541
NV,2012,0.28299794,0.28613031,0.26193389,3.1858563,3.2211192,2.9487274,981,41,0.040117417
NV,2013,0.28034818,0.28232095,0.26771197,3.1209691,3.142931,2.9802969,1029,42,0.039215688
NV,2014,0.29022509,0.29340261,0.27115813,3.1867521,3.221642,2.9773915,1038,44,0.040665433
NY,2000,0.54677844,0.54633766,0.55123901,3.0987959,3.096298,3.1240757,3133,122,0.037480798
NY,2001,0.54561126,0.54425538,0.55750918,3.0963683,3.0886736,3.1638896,2977,133,0.042765275
NY,2002,0.54085678,0.53829634,0.56119686,3.0739944,3.059442,3.1895986,2820,142,0.047940582
NY,2003,0.54334277,0.53947276,0.5708009,3.095309,3.0732625,3.2517323,2741,140,0.048594236
NY,2004,0.54866582,0.54520082,0.57089025,3.1354904,3.1156888,3.2624977,2600,158,0.05728789
NY,2005,0.55374956,0.54941976,0.57879752,3.1690772,3.1442978,3.3124251,2612,168,0.060431655
NY,2006,0.55928779,0.55519027,0.58218092,3.2047408,3.1812618,3.3359194,2651,174,0.061592922
NY,2007,0.56521034,0.56228137,0.58097899,3.2465208,3.229697,3.3370945,2548,173,0.063579567
NY,2008,0.57061863,0.56809819,0.58350474,3.2812548,3.2667613,3.3553543,2389,158,0.062033765
NY,2009,0.56962949,0.56649733,0.58514696,3.2743189,3.2563148,3.3635156,2274,175,0.071457736
NY,2010,0.56635243,0.56232965,0.58598119,3.2468302,3.2237682,3.3593595,2019,170,0.07766103
NY,2011,0.5578953,0.55178136,0.5876711,3.1921556,3.1571729,3.3625262,2112,165,0.072463766
NY,2012,0.55418837,0.54666907,0.59047204,3.1680977,3.1251125,3.3755186,2044,167,0.075531431
NY,2013,0.54542005,0.53537714,0.5937776,3.1104007,3.0531282,3.3861723,2150,179,0.076857023
NY,2014,0.53859526,0.52635509,0.59731245,3.0635073,2.9938858,3.3974884,2121,175,0.076219514
OH,2009,0.48096693,0.48075193,0.4825021,3.9021089,3.9003646,3.9145639,3218,195,0.057134487
OH,2010,0.47689089,0.4755812,0.48618421,3.8525627,3.8419824,3.9276388,3369,194,0.0544485
OH,2011,0.47313172,0.47131765,0.4852387,3.8052967,3.7907064,3.9026704,3351,211,0.059236385
OH,2012,0.46534815,0.46110412,0.49248976,3.7242191,3.6902537,3.9414353,3359,220,0.061469685
OH,2013,0.45728725,0.45094207,0.49582419,3.6366246,3.586164,3.9430935,3420,233,0.063783191
OK,2000,0.31671345,0.31262803,0.34408233,4.1419563,4.0885272,4.4998841,2132,147,0.064501971
OK,2001,0.30327573,0.29742765,0.34160435,3.9635391,3.88711,4.4644594,2042,128,0.058986176
OK,2002,0.29377732,0.28478616,0.35056543,3.8425243,3.7249224,4.5852966,2133,134,0.059108954
OK,2003,0.28265375,0.27204043,0.34980619,3.7121851,3.5727968,4.5941205,2189,124,0.053610031
OK,2004,0.28210041,0.27164677,0.35032052,3.7075536,3.5701649,4.6041484,2271,119,0.049790796
OK,2005,0.28178206,0.2716181,0.34635496,3.7130883,3.5791562,4.5639763,2319,112,0.046071574
OK,2006,0.29091576,0.28264353,0.34390098,3.8278928,3.7190461,4.5250764,2391,122,0.048547551
OK,2007,0.30016491,0.29307687,0.34427658,3.9503036,3.857022,4.5308328,2426,126,0.049373042
OK,2008,0.3077969,0.30284572,0.33818492,4.0734224,4.0078979,4.4755816,2529,126,0.047457628
OK,2009,0.30516043,0.30179086,0.32633093,4.0309405,3.9864311,4.3105869,2596,116,0.042772863
OK,2010,0.29688427,0.29245153,0.32499999,3.9101667,3.8517845,4.2804699,2491,141,0.053571429
OK,2011,0.29259923,0.28754947,0.32290503,3.8422806,3.7759695,4.2402425,2383,149,0.058846761
OK,2012,0.28347766,0.27760196,0.31813332,3.7099531,3.6330559,4.1635017,2500,158,0.059443191
OK,2013,0.27684811,0.2700575,0.31659332,3.5995569,3.511266,4.1163211,2689,174,0.06077541
OK,2014,0.26364285,0.254419,0.32162374,3.4119401,3.2925694,4.1623011,2809,196,0.065224625
OR,2001,0.10949156,0.11036665,0.099236645,6.3046441,6.3550329,5.7141552,650,25,0.037037037
OR,2002,0.10415992,0.10373553,0.1092437,5.9015007,5.8774557,6.189538,803,25,0.030193238
OR,2003,0.099636704,0.098485485,0.11359026,5.6100321,5.5452127,6.3956852,869,27,0.030133929
OR,2004,0.097681008,0.09682899,0.10772164,5.4730053,5.4252672,6.0355759,969,28,0.028084252
OR,2005,0.097564556,0.096395172,0.11061552,5.4104896,5.3456407,6.1342373,994,32,0.031189084
OR,2006,0.10107759,0.10102604,0.1016,5.5114818,5.5086713,5.5399675,999,34,0.032913845
OR,2007,0.098551549,0.097826943,0.10545999,5.2899098,5.2510152,5.6607308,1021,36,0.034058657
OR,2008,0.095795855,0.09427087,0.10941828,5.0459189,4.9655924,5.7634621,1078,40,0.035778176
OR,2009,0.097014412,0.095599629,0.10846395,5.0409164,4.9674034,5.6358399,1089,45,0.039682541
OR,2010,0.098161183,0.096642226,0.10991637,5.0484405,4.9703207,5.6530108,1090,47,0.041336853
OR,2011,0.094756961,0.092058323,0.11459521,4.8152189,4.6780834,5.8233294,1074,53,0.047027506
OR,2012,0.094309375,0.091789283,0.11212938,4.7292876,4.6029139,5.6228991,1178,59,0.047696039
OR,2013,0.09502504,0.093267776,0.10826211,4.7155733,4.6283698,5.3724566,1227,49,0.038401254
PA,2001,0.54030025,0.5309177,0.59786546,5.219347,5.1287107,5.7754316,1535,116,0.07026045
PA,2002,0.53360218,0.52487725,0.59153247,5.1087775,5.0252438,5.6634097,1668,121,0.067635551
PA,2003,0.52464014,0.51537061,0.58758837,4.9763932,4.8884683,5.5734787,1671,123,0.068561874
PA,2004,0.51878518,0.507846,0.58905125,4.8654466,4.7628531,5.5244393,1678,134,0.073951438
PA,2005,0.51077551,0.49852869,0.58826631,4.7380147,4.6244116,5.4568286,1878,134,0.066600397
PA,2006,0.50282007,0.4899483,0.58566821,4.6116457,4.4935913,5.3714924,2082,141,0.063427798
PA,2007,0.5006482,0.48732987,0.58628571,4.5448294,4.4239273,5.3222375,2307,145,0.0591354
PA,2008,0.4942849,0.48022825,0.58729911,4.4431705,4.3168144,5.279284,2596,151,0.054969057
PA,2009,0.49522188,0.48120978,0.58704334,4.4142466,4.2893476,5.2327132,2649,157,0.055951532
PA,2010,0.49511278,0.48084202,0.58448792,4.385304,4.2589054,5.1769161,2518,175,0.064983293
PA,2011,0.49577868,0.48106441,0.58585012,4.3559361,4.226656,5.1473083,2529,187,0.068851255
PA,2012,0.49464706,0.47949833,0.58297753,4.3116193,4.1795745,5.0815568,2301,196,0.078494191
PA,2013,0.48681602,0.46981615,0.5846051,4.2095327,4.0625339,5.0551219,2512,199,0.073404647
PA,2014,0.48920894,0.47155353,0.58483422,4.2045441,4.052803,5.026403,2444,205,0.077387691
RI,2004,0.28345627,0.28652644,0.24460432,4.4286213,4.4765887,3.8216121,65,1,0.015151516
RI,2005,0.2878072,0.29019004,0.26035503,4.3986249,4.4350424,3.9790668,71,0,0
RI,2006,0.28669411,0.29198185,0.23529412,4.3029656,4.3823285,3.5315077,72,0,0
RI,2007,0.29098848,0.29491082,0.25,4.2700024,4.3275595,3.6685321,117,1,0.008474576
RI,2008,0.29566929,0.29956895,0.25454545,4.2672539,4.3235359,3.673733,104,1,0.00952381
RI,2009,0.29012069,0.29234567,0.26886791,4.1105967,4.1421213,3.8094749,92,1,0.010752688
RI,2010,0.29235882,0.29439747,0.27441859,4.0898123,4.118331,3.8388462,106,1,0.009345794
RI,2011,0.30468372,0.30818966,0.27441859,4.1612034,4.2090855,3.747859,82,1,0.012048192
RI,2012,0.30473816,0.30730051,0.2857143,4.1158681,4.1504755,3.858927,83,2,0.023529412
RI,2013,0.29691103,0.2987487,0.28286853,3.9286244,3.9529397,3.7428188,88,2,0.022222223
RI,2014,0.29789186,0.30061984,0.27642277,3.8602583,3.8956094,3.5820494,75,1,0.013157895
SC,2000,0.68189764,0.68803144,0.61698538,2.2972476,2.3179119,2.0785644,1248,58,0.044410415
SC,2001,0.68070883,0.68605429,0.62559491,2.299825,2.3178849,2.1136184,1331,56,0.040374909
SC,2002,0.67900467,0.6830641,0.636594,2.3057895,2.3195746,2.1617696,1482,58,0.037662338
SC,2003,0.6730364,0.67634255,0.64040112,2.2948523,2.3061252,2.1835756,1421,63,0.042452831
SC,2004,0.6666072,0.66864401,0.6477325,2.2852728,2.2922554,2.2205663,1365,72,0.050104383
SC,2005,0.65690583,0.65769362,0.64997804,2.2659931,2.2687106,2.2420957,1357,72,0.050384883
SC,2006,0.65776366,0.65782219,0.65726316,2.2848024,2.2850058,2.2830639,1425,75,0.050000001
SC,2007,0.65467751,0.65432519,0.65743554,2.2935548,2.2923205,2.3032169,1419,85,0.056515958
SC,2008,0.6537559,0.65224594,0.66438121,2.3034148,2.2980947,2.3408515,1412,107,0.070441082
SC,2009,0.65467107,0.65146887,0.67519748,2.3195841,2.3082383,2.3923118,1308,125,0.087229587
SC,2010,0.64979881,0.64588028,0.67264038,2.3081975,2.2942781,2.3893347,1268,134,0.095577747
SC,2011,0.64839506,0.64328206,0.67477876,2.3110569,2.2928329,2.4050956,1189,146,0.1093633
SC,2012,0.64565706,0.63925314,0.67545903,2.3087342,2.285835,2.4152997,1114,164,0.12832551
SC,2013,0.63865393,0.63158494,0.66947472,2.2895985,2.2642558,2.4000921,1151,174,0.13132076
SC,2014,0.63292104,0.62369525,0.67142504,2.2791417,2.2459197,2.4177942,1152,169,0.12793338
SD,2000,0.042083334,0.0432919,0,6.3808298,6.5640769,0,189,0,0
SD,2001,0.041618496,0.042806182,0,5.696218,5.8587737,0,231,0,0
SD,2002,0.043731779,0.044792835,0,5.4702153,5.6029382,0,250,0,0
SD,2003,0.045534767,0.046503246,0,5.2891588,5.4016542,0,273,0,0
SD,2004,0.052869566,0.05380531,0,5.7757378,5.8779631,0,297,0,0
SD,2005,0.05679702,0.057565272,0,5.8092442,5.8878217,0,355,0,0
SD,2006,0.051948052,0.052411575,0.021276595,5.0255795,5.0704217,2.0583489,347,0,0
SD,2007,0.055236273,0.05609598,0,4.9655123,5.0427966,0,372,0,0
SD,2008,0.063011974,0.063938618,0,5.3791671,5.458272,0,346,1,0.002881844
SD,2009,0.06286595,0.063829787,0,5.0214796,5.0984674,0,374,1,0.002666667
SD,2010,0.056051739,0.057242252,0.011764706,4.2467957,4.3369956,0.89136046,400,2,0.004975124
SD,2011,0.057605762,0.058659218,0.027027028,3.9852116,4.0580907,1.8697509,426,4,0.009302326
SD,2012,0.063170098,0.064759038,0.022900764,3.6779714,3.7704847,1.3333579,408,4,0.009708738
TN,2000,0.51979762,0.5255478,0.46146616,3.1489055,3.1837399,2.7955368,1607,49,0.029589372
TN,2001,0.51282156,0.51782358,0.4629133,3.0934019,3.1235747,2.7923493,1597,59,0.035628021
TN,2002,0.4985154,0.50161326,0.467886,2.9943111,3.0129182,2.8103368,1848,59,0.030938648
TN,2003,0.48684457,0.48818049,0.4738746,2.9153643,2.9233642,2.8376963,2102,61,0.028201573
TN,2004,0.47939461,0.47916245,0.48157996,2.8605278,2.8591423,2.8735676,2224,66,0.02882096
TN,2005,0.47272792,0.47120711,0.48657474,2.8148286,2.805773,2.8972788,2321,83,0.034525789
TN,2006,0.46948493,0.4676221,0.48541668,2.7880762,2.7770138,2.8826883,2339,95,0.039030403
TN,2007,0.47045398,0.46899116,0.48251978,2.7994988,2.7907939,2.8712978,2308,100,0.04152824
TN,2008,0.46761888,0.46499413,0.48857591,2.7867274,2.7710855,2.9116187,2475,109,0.042182662
TN,2009,0.47043857,0.46707836,0.49538553,2.8006742,2.7806699,2.9491916,2387,129,0.05127186
TN,2010,0.46416155,0.45896754,0.49958801,2.7561464,2.7253048,2.9665053,2392,160,0.062695928
TN,2011,0.45617455,0.44892326,0.5034731,2.6973693,2.6544924,2.9770465,2429,175,0.067204304
TN,2012,0.45035189,0.44345424,0.4959805,2.6488287,2.608259,2.917202,2632,203,0.071604937
TN,2013,0.43806842,0.43042547,0.48516458,2.5691822,2.5243576,2.8453915,2697,235,0.080150068
TN,2014,0.42686588,0.41718531,0.48415178,2.4980032,2.4413528,2.8332381,2850,254,0.081829898
TX,2005,0.37771904,0.35929087,0.48094308,3.191077,3.0353906,4.0631428,9602,518,0.051185772
TX,2006,0.3736535,0.35623509,0.46818182,3.0725639,2.9293318,3.8498731,9471,592,0.058829375
TX,2007,0.37157562,0.35490555,0.4591572,3.0607586,2.9234433,3.7821894,9511,651,0.064062193
TX,2008,0.37330863,0.35863635,0.44853064,3.0735555,2.9527543,3.6928794,9476,688,0.067689888
TX,2009,0.36595687,0.35205811,0.43564153,3.0049205,2.8907959,3.5771105,9136,737,0.07464803
TX,2010,0.36033225,0.34770599,0.42432979,2.9497199,2.84636,3.4736109,9605,779,0.075019263
TX,2011,0.35910743,0.34701985,0.42059892,2.931742,2.8330593,3.4337566,9628,807,0.077335887
TX,2012,0.35630369,0.34483629,0.41397101,2.8907895,2.7977514,3.3586602,9103,783,0.079202913
TX,2013,0.35101879,0.34013078,0.40552625,2.8333917,2.7455046,3.273371,9232,778,0.077722281
TX,2014,0.34511209,0.33373666,0.40194994,2.769315,2.6780343,3.2254045,9696,793,0.075603016
UT,2000,0.080760539,0.080635667,0.08372093,9.3124676,9.298069,9.6538296,358,2,0.005555556
UT,2001,0.08164078,0.080934502,0.096491225,8.9589291,8.8814249,10.588556,298,2,0.006666667
UT,2002,0.077482305,0.077061288,0.087155961,8.1800117,8.1355639,9.2012844,355,2,0.005602241
UT,2003,0.072044,0.071619049,0.082926832,7.4957552,7.4515414,8.6280499,417,1,0.002392344
UT,2004,0.074629501,0.073478341,0.10659899,7.5075908,7.3917861,10.723662,499,3,0.005976096
UT,2005,0.069721118,0.068746783,0.099476442,6.7449288,6.6506705,9.6235056,553,4,0.007181329
UT,2006,0.073867366,0.073497035,0.085561499,6.8653646,6.8309455,7.9522381,597,5,0.008305647
UT,2007,0.069854133,0.069732442,0.073684208,6.1728506,6.1620975,6.5113058,610,5,0.008130081
UT,2008,0.068005182,0.067488752,0.085714288,5.8621616,5.8176446,7.3887167,612,6,0.009708738
UT,2009,0.070857503,0.070612833,0.08024691,5.8891239,5.8687887,6.6694984,610,5,0.008130081
UT,2010,0.066285886,0.065190464,0.1025641,5.3917403,5.3026381,8.3426361,639,5,0.007763975
UT,2011,0.067054093,0.06586457,0.1008772,5.3647084,5.2695398,8.0707483,644,1,0.001550388
UT,2012,0.062509216,0.061952345,0.075539567,4.8759561,4.8325181,5.8923731,668,1,0.001494768
UT,2013,0.064113721,0.064043917,0.065476194,4.9081478,4.9028039,5.0124502,685,6,0.008683068
UT,2014,0.063459568,0.063332304,0.065616801,4.7850595,4.7754631,4.947722,680,9,0.013062409
WA,2000,0.22329895,0.22621331,0.17885265,6.6083732,6.6946216,5.2930164,987,24,0.023738872
WA,2001,0.21563981,0.218104,0.18107833,6.2887206,6.3605843,5.2808013,1004,27,0.026188167
WA,2002,0.21913777,0.22132893,0.18963923,6.3145638,6.3777032,5.4645486,1168,29,0.024227235
WA,2003,0.20986871,0.21136037,0.19159664,6.01582,6.0585775,5.4920568,1192,32,0.026143791
WA,2004,0.20492508,0.20510939,0.20278637,5.8335185,5.8387651,5.7726369,1267,31,0.023882898
WA,2005,0.19676892,0.19518168,0.21368124,5.5529194,5.5081263,6.0301933,1302,36,0.026905829
WA,2006,0.19901973,0.1964131,0.22462344,5.532043,5.4595881,6.2437353,1322,41,0.030080704
WA,2007,0.20045099,0.19806604,0.22242424,5.5269814,5.4612217,6.132844,1342,49,0.035226457
WA,2008,0.19352019,0.18867312,0.23582767,5.2402582,5.1090064,6.3858862,1271,53,0.040030211
WA,2009,0.19472043,0.18982199,0.23672566,5.1907067,5.0601277,6.3104496,1216,58,0.045525901
WA,2010,0.19067599,0.18434145,0.24203822,5.0617476,4.893589,6.4252267,1211,57,0.044952683
WA,2011,0.18921918,0.18193813,0.24541752,4.9089594,4.7200656,6.3669267,1221,64,0.049805447
WA,2012,0.18575394,0.17769262,0.24404472,4.7103434,4.5059247,6.1884789,1174,70,0.056270096
WA,2013,0.18699464,0.17948219,0.24081822,4.6486878,4.4619284,5.986742,1289,73,0.053597651
WA,2014,0.18199989,0.1737591,0.23761062,4.4672022,4.2649312,5.8321719,1250,83,0.062265567
WI,2000,0.47223064,0.47521251,0.40693641,8.1736889,8.2253017,7.0435319,1300,24,0.018126888
WI,2001,0.46829057,0.47015536,0.43323728,7.9907403,8.0225601,7.3926034,1235,36,0.028324155
WI,2002,0.46310839,0.46294349,0.46567863,7.7958021,7.793026,7.8390684,1267,43,0.032824427
WI,2003,0.46252412,0.46162546,0.47526133,7.7008219,7.6858597,7.9128909,1282,45,0.033911079
WI,2004,0.46032321,0.45740503,0.49636364,7.5967965,7.5486374,8.1915779,1265,52,0.039483674
WI,2005,0.45631289,0.45278013,0.49387974,7.4514246,7.3937359,8.0648775,1239,53,0.041021671
WI,2006,0.4505139,0.44629803,0.48973072,7.2727804,7.2047224,7.9058695,1297,57,0.04209749
WI,2007,0.44553286,0.44142914,0.48087433,7.1116414,7.0461373,7.6757655,1367,67,0.046722453
WI,2008,0.43895182,0.43381837,0.47852999,6.9278722,6.8468518,7.552525,1212,72,0.056074765
WI,2009,0.43027943,0.42343584,0.47960308,6.7196136,6.6127381,7.4898939,1179,73,0.058306709
WI,2010,0.42503187,0.41660529,0.47932205,6.5760808,6.4457054,7.4160571,1152,68,0.055737704
WI,2011,0.42281541,0.41293001,0.48198918,6.5005751,6.3485918,7.4103417,1069,69,0.060632691
WI,2012,0.41584885,0.40380654,0.48186684,6.3593607,6.1752038,7.3689394,1096,81,0.068819031
WI,2013,0.41179964,0.39990249,0.47570556,6.2757449,6.0944347,7.2496586,1115,82,0.068504594
WI,2014,0.40944311,0.39712688,0.4751651,6.2099977,6.0231981,7.206799,1247,87,0.065217391
WV,2006,0.13859312,0.14109105,0.11848341,4.1830854,4.2584791,3.5761242,569,17,0.029010238
WV,2007,0.13965291,0.14196967,0.11968504,4.1719856,4.2411962,3.5754662,624,21,0.032558139
WV,2008,0.13612735,0.13829009,0.11876833,4.0238447,4.0877743,3.5107222,629,29,0.044072948
WV,2009,0.12786582,0.12871972,0.12100139,3.7256141,3.7504938,3.5256057,678,27,0.038297873
WV,2010,0.1216376,0.12156993,0.12217796,3.518564,3.5166066,3.5341947,712,27,0.036535859
WV,2011,0.11841539,0.11859232,0.11693548,3.3910365,3.3961034,3.3486569,750,25,0.032258064
WV,2012,0.11534186,0.11530139,0.11570248,3.2713585,3.2702107,3.2815866,801,24,0.029090909
WV,2013,0.1139822,0.1149113,0.10578279,3.1864955,3.2124696,2.9572723,806,34,0.040476192
WV,2014,0.10462949,0.10573391,0.094972067,2.9028437,2.9334846,2.6349077,824,30,0.035128806
WY,2006,0.044687189,0.045108695,0.040229887,5.0003252,5.0474896,4.5015702,213,1,0.004672897
WY,2007,0.04502251,0.045730028,0.038043477,4.8698606,4.9463892,4.1149735,224,2,0.008849558
WY,2008,0.04904905,0.050583657,0.035175879,5.4503241,5.6208491,3.9087389,182,2,0.010869565
WY,2009,0.040378865,0.039598439,0.046948358,4.1847739,4.1038923,4.8656216,175,2,0.011299435
WY,2010,0.043052837,0.042763159,0.045454547,4.6819525,4.6504502,4.9431357,184,2,0.010752688
WY,2011,0.039962389,0.039287586,0.04587156,3.9446046,3.8779964,4.5278869,206,2,0.009615385
WY,2012,0.045727484,0.044501279,0.057142857,3.0727081,2.9903119,3.8397765,228,2,0.008695652
WY,2013,0.051011432,0.051941749,0.042056076,2.9137375,2.9668765,2.4022138,250,4,0.015748031
WY,2014,0.050212767,0.051893409,0.033175357,3.2980576,3.4084451,2.1790123,268,3,0.011070111